ObservationDate,CurveTicker,ComponentTicker,TenorString,D2X,Close,TenorEnd
8/2/2024,,USSO1Day Curncy,1D,1,5.3035,8/3/2024
8/2/2024,YCSW0042,USSO1Z Curncy,1W,5,5.3035,4/11/2024
8/2/2024,YCSW0042,USSO2Z Curncy,2W,10,5.3065,4/18/2024
8/2/2024,YCSW0042,USSO3Z Curncy,3W,15,5.3120,4/25/2024
8/2/2024,YCSW0042,USSOA Curncy,1M,21,5.3112,5/4/2024
8/2/2024,YCSW0042,USSOB Curncy,2M,42,5.1971,6/4/2024
8/2/2024,YCSW0042,USSOC Curncy,3M,63,5.1127,7/4/2024
8/2/2024,YCSW0042,USSOD Curncy,4M,84,4.9720,8/4/2024
8/2/2024,YCSW0042,USSOE Curncy,5M,105,4.8467,9/4/2024
8/2/2024,YCSW0042,USSOF Curncy,6M,126,4.7353,10/4/2024
8/2/2024,YCSW0042,USSOI Curncy,9M,189,4.4510,1/4/2025
8/2/2024,YCSW0042,USSO1 Curncy,1Y,252,4.2060,4/4/2025
8/2/2024,YCSW0042,USSO1F Curncy,18M,378,3.8421,10/4/2025
8/2/2024,YCSW0042,USSO2 Curncy,2Y,504,3.6490,4/4/2026
8/2/2024,YCSW0042,USSO3 Curncy,3Y,756,3.4260,4/4/2027
8/2/2024,YCSW0042,USSO4 Curncy,4Y,1008,3.3210,4/4/2028
8/2/2024,YCSW0042,USSO5 Curncy,5Y,1260,3.2798,4/4/2029
8/2/2024,YCSW0042,USSO7 Curncy,7Y,1764,3.2638,4/4/2031
8/2/2024,YCSW0042,USSO10 Curncy,10Y,2520,3.2954,4/4/2034
8/2/2024,YCSW0042,USSO12 Curncy,12Y,3024,3.3267,4/4/2036
8/2/2024,YCSW0042,USSO15 Curncy,15Y,3780,3.3639,4/4/2039
8/2/2024,YCSW0042,USSO20 Curncy,20Y,5040,3.3675,4/4/2044
8/2/2024,YCSW0042,USSO25 Curncy,25Y,6300,3.3065,4/4/2049
8/2/2024,YCSW0042,USSO30 Curncy,30Y,7560,3.2316,4/4/2054
8/2/2024,YCSW0042,USSO40 Curncy,40Y,10080,3.0390,4/4/2059