DivExpirationDate,DivCurve
15-Jul-24,2.915%
16-Jul-24,1.962%
17-Jul-24,1.690%
18-Jul-24,1.133%
19-Jul-24,-0.320%
22-Jul-24,1.075%
23-Jul-24,0.954%
24-Jul-24,0.868%
25-Jul-24,0.781%
26-Jul-24,-0.053%
29-Jul-24,0.640%
30-Jul-24,0.585%
31-Jul-24,0.662%
1-Aug-24,0.608%
2-Aug-24,0.074%
5-Aug-24,0.528%
6-Aug-24,0.496%
7-Aug-24,0.477%
8-Aug-24,0.474%
9-Aug-24,0.150%
12-Aug-24,0.565%
13-Aug-24,0.531%
14-Aug-24,0.549%
15-Aug-24,0.831%
16-Aug-24,0.566%
19-Aug-24,0.921%
20-Aug-24,0.958%
23-Aug-24,0.567%
30-Aug-24,0.432%
6-Sep-24,0.600%
20-Sep-24,0.603%
30-Sep-24,0.752%
18-Oct-24,0.531%
31-Oct-24,0.557%
15-Nov-24,0.538%
29-Nov-24,0.558%
20-Dec-24,0.612%
31-Dec-24,0.595%
17-Jan-25,0.467%
21-Feb-25,0.525%
21-Mar-25,0.573%
31-Mar-25,0.596%
17-Apr-25,0.534%
16-May-25,0.566%
20-Jun-25,0.594%
30-Jun-25,0.616%
18-Jul-25,0.587%
19-Sep-25,0.626%
19-Dec-25,0.630%
16-Jan-26,0.585%
18-Jun-26,0.597%
18-Dec-26,0.624%
17-Dec-27,0.585%
15-Dec-28,0.543%
21-Dec-29,0.528%
31-Dec-29,0.528%
31-Dec-30,0.517%
31-Dec-31,0.509%
31-Dec-32,0.503%
30-Dec-33,0.498%